GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-maven-project,com.example.htmltable,HTMLTableStorage,90,0,6,0,32,0,14,0,11,0
my-maven-project,com.example.library,DomToArray,94,0,9,0,23,0,9,0,4,0
my-maven-project,com.example.config,Config.new HashMap() {...},0,18,0,0,0,5,0,1,0,1
my-maven-project,com.example.config,Config.new HashMap() {...},0,28,0,0,0,7,0,1,0,1
my-maven-project,com.example.config,Config.new HashMap() {...},0,18,0,0,0,5,0,1,0,1
my-maven-project,com.example.config,Config.new HashMap() {...},0,13,0,0,0,4,0,1,0,1
my-maven-project,com.example.config,Config.new HashMap() {...},23,0,0,0,6,0,1,0,1,0
my-maven-project,com.example.config,Config,65,35,0,0,10,11,6,3,6,3
my-maven-project,com.example.config,Config.new HashMap() {...},23,0,0,0,6,0,1,0,1,0
my-maven-project,com.example.config,Config.new HashMap() {...},23,0,0,0,6,0,1,0,1,0
